feature_idx,count
279,68
131,66
85,56
79,49
17,49
240,49
270,48
55,47
259,46
182,44
125,43
44,41
53,40
194,39
286,39
218,39
265,37
222,37
25,35
205,34
107,34
64,33
208,33
228,32
227,31
295,31
162,31
39,30
148,30
242,28
59,28
132,28
99,27
284,27
90,27
112,27
75,26
297,26
200,25
274,25
285,25
293,25
216,24
89,24
87,24
150,24
181,24
47,24
71,24
239,24
100,24
210,23
215,23
157,22
98,22
51,22
292,22
287,22
283,22
111,21
172,20
159,20
133,20
123,20
254,20
238,20
263,19
50,19
23,19
168,19
211,19
54,18
4,18
272,18
95,18
120,18
171,18
280,18
223,17
46,17
143,17
189,17
249,17
43,17
41,17
61,17
48,16
88,16
14,16
186,16
291,16
221,16
101,15
230,15
234,15
106,15
118,15
45,15
247,15
196,15
250,15
177,15
268,15
21,15
261,14
96,14
214,14
6,14
276,14
141,14
161,13
77,13
278,13
170,13
66,13
135,13
8,13
5,13
164,12
299,12
67,12
76,12
91,12
204,12
74,12
245,12
167,12
262,12
16,12
231,12
178,12
124,11
10,11
83,11
144,11
73,11
60,11
38,11
290,11
27,11
213,11
114,11
165,10
154,10
147,10
22,10
31,10
110,10
207,10
198,10
116,10
117,10
140,10
187,9
35,9
244,9
202,9
33,9
108,9
252,9
197,9
113,9
122,8
225,8
29,8
232,8
24,7
251,7
235,7
176,7
175,7
269,7
180,7
37,7
255,7
139,7
78,7
256,6
42,6
224,6
237,6
146,6
65,6
97,6
86,6
257,6
241,6
195,6
209,6
193,6
127,6
183,6
69,5
136,5
32,5
138,5
3,5
36,5
169,5
137,5
288,5
212,5
174,4
282,4
92,4
102,4
149,4
20,4
13,4
153,4
7,4
103,4
30,4
179,4
81,4
12,4
145,4
130,4
271,3
34,3
191,3
134,3
188,3
68,3
104,3
84,3
264,3
49,3
28,3
184,3
70,3
289,3
80,3
156,2
201,2
93,2
220,2
57,2
243,2
248,2
115,2
152,2
236,2
0,2
277,2
226,2
1,2
173,2
63,2
109,2
163,2
2,2
294,2
105,1
253,1
26,1
142,1
19,1
260,1
158,1
217,1
72,1
199,1
160,1
166,1
11,1
246,1
56,1
219,1
121,1
119,1
9,1
233,1
281,1
82,1
267,1
