feature_idx,count
17,93
270,85
279,62
79,58
90,58
218,56
71,53
216,47
265,47
55,46
283,46
88,42
263,40
240,40
46,40
268,39
85,38
87,37
131,37
228,37
182,36
25,36
52,36
286,36
64,35
141,33
111,32
61,31
205,30
231,30
125,29
208,29
98,29
242,29
44,29
222,29
53,28
274,28
214,27
239,26
99,26
215,26
59,25
168,25
19,24
172,24
213,23
123,23
284,23
69,23
249,23
285,23
234,22
189,22
16,22
86,22
43,21
112,21
162,21
5,21
95,20
48,20
194,20
27,20
107,20
207,20
238,20
106,19
132,19
100,19
89,19
147,18
54,18
299,18
227,18
278,18
288,18
140,18
14,18
259,18
293,18
47,18
292,18
76,17
290,17
287,17
45,17
143,17
159,16
247,16
210,16
223,16
181,16
75,15
165,15
6,15
49,15
230,15
196,14
39,14
142,14
81,14
92,14
150,14
77,14
245,14
60,13
120,13
101,12
24,12
261,12
23,12
116,12
67,12
32,12
254,12
38,12
148,12
155,12
0,12
118,11
121,11
158,11
199,11
146,11
157,11
277,11
280,11
133,11
110,10
256,10
178,10
167,10
295,10
250,10
197,10
63,10
161,9
22,9
41,9
135,9
8,9
195,9
144,9
171,9
72,8
130,8
113,8
70,8
170,8
183,8
4,8
154,8
3,8
257,7
276,7
50,7
193,7
191,7
291,7
211,7
252,7
26,7
232,7
198,6
134,6
149,6
10,6
185,6
202,6
235,6
29,6
225,6
127,6
244,6
65,6
122,6
57,6
251,6
7,6
21,6
35,6
97,5
294,5
102,5
136,5
108,5
212,5
66,5
156,5
200,5
73,5
267,5
177,5
175,5
78,4
91,4
124,4
145,4
151,4
37,4
179,4
224,4
174,4
255,4
297,4
139,4
246,4
96,4
176,4
28,4
220,3
93,3
30,3
204,3
201,3
31,3
269,3
84,3
13,3
221,3
243,3
241,3
264,3
15,3
166,3
115,3
282,3
209,3
138,3
262,2
153,2
33,2
117,2
289,2
9,2
68,2
20,2
253,2
114,2
164,2
56,2
237,2
248,2
104,2
298,2
186,2
226,2
105,2
187,1
83,1
236,1
34,1
128,1
152,1
281,1
11,1
80,1
190,1
272,1
169,1
188,1
260,1
103,1
163,1
206,1
1,1
82,1
109,1
36,1
271,1
