feature_idx,count
279,68
131,66
85,56
240,49
17,49
79,49
270,48
55,47
259,46
182,44
125,43
44,41
53,40
286,39
194,39
218,39
222,37
265,37
25,35
107,34
205,34
64,33
208,33
228,32
295,31
162,31
227,31
148,30
39,30
59,28
132,28
242,28
90,27
112,27
99,27
284,27
75,26
297,26
274,25
285,25
200,25
293,25
150,24
100,24
89,24
87,24
181,24
216,24
47,24
71,24
239,24
215,23
210,23
157,22
51,22
287,22
283,22
292,22
98,22
111,21
172,20
133,20
159,20
254,20
123,20
238,20
50,19
168,19
23,19
263,19
211,19
95,18
120,18
280,18
54,18
4,18
171,18
272,18
223,17
41,17
46,17
61,17
143,17
249,17
189,17
43,17
221,16
186,16
88,16
291,16
14,16
48,16
268,15
250,15
247,15
118,15
234,15
21,15
101,15
45,15
230,15
196,15
106,15
177,15
141,14
261,14
96,14
214,14
276,14
6,14
135,13
161,13
278,13
77,13
8,13
66,13
170,13
5,13
74,12
204,12
245,12
164,12
76,12
91,12
231,12
16,12
178,12
262,12
299,12
167,12
67,12
60,11
290,11
27,11
124,11
144,11
38,11
83,11
10,11
73,11
213,11
114,11
154,10
31,10
147,10
140,10
22,10
165,10
198,10
110,10
116,10
117,10
207,10
33,9
108,9
113,9
244,9
35,9
187,9
197,9
202,9
252,9
225,8
29,8
122,8
232,8
180,7
139,7
24,7
255,7
175,7
269,7
37,7
251,7
78,7
235,7
176,7
209,6
257,6
86,6
97,6
256,6
193,6
146,6
183,6
195,6
65,6
241,6
42,6
237,6
127,6
224,6
138,5
69,5
137,5
36,5
288,5
32,5
3,5
212,5
136,5
169,5
92,4
13,4
145,4
153,4
20,4
149,4
103,4
12,4
174,4
7,4
282,4
81,4
179,4
30,4
102,4
130,4
70,3
49,3
34,3
28,3
289,3
134,3
68,3
84,3
104,3
191,3
188,3
271,3
184,3
80,3
264,3
152,2
226,2
173,2
220,2
277,2
1,2
115,2
294,2
93,2
156,2
163,2
243,2
236,2
201,2
57,2
248,2
109,2
63,2
0,2
2,2
217,1
9,1
121,1
158,1
160,1
199,1
11,1
233,1
82,1
281,1
219,1
166,1
119,1
246,1
260,1
56,1
105,1
26,1
19,1
142,1
72,1
253,1
267,1
