feature_idx,count
17,93
270,85
279,62
79,58
90,58
218,56
71,53
265,47
216,47
283,46
55,46
88,42
263,40
240,40
46,40
268,39
85,38
131,37
87,37
228,37
182,36
286,36
25,36
52,36
64,35
141,33
111,32
61,31
205,30
231,30
222,29
242,29
98,29
44,29
208,29
125,29
274,28
53,28
214,27
215,26
239,26
99,26
59,25
168,25
19,24
172,24
284,23
123,23
69,23
285,23
213,23
249,23
189,22
16,22
234,22
86,22
43,21
5,21
162,21
112,21
194,20
207,20
238,20
48,20
107,20
95,20
27,20
132,19
100,19
89,19
106,19
140,18
227,18
147,18
47,18
14,18
299,18
293,18
292,18
288,18
278,18
54,18
259,18
290,17
143,17
45,17
76,17
287,17
247,16
159,16
181,16
210,16
223,16
75,15
230,15
165,15
6,15
49,15
81,14
245,14
150,14
39,14
142,14
92,14
77,14
196,14
60,13
120,13
148,12
0,12
67,12
116,12
261,12
23,12
32,12
38,12
101,12
254,12
155,12
24,12
158,11
118,11
277,11
133,11
280,11
157,11
121,11
146,11
199,11
167,10
178,10
110,10
295,10
256,10
197,10
250,10
63,10
171,9
41,9
8,9
161,9
144,9
135,9
22,9
195,9
130,8
170,8
4,8
183,8
72,8
154,8
113,8
70,8
3,8
291,7
26,7
257,7
193,7
232,7
50,7
211,7
252,7
276,7
191,7
235,6
65,6
29,6
21,6
127,6
244,6
57,6
198,6
35,6
185,6
122,6
134,6
149,6
251,6
7,6
202,6
10,6
225,6
102,5
294,5
177,5
136,5
267,5
175,5
73,5
108,5
200,5
212,5
156,5
66,5
97,5
96,4
179,4
124,4
255,4
28,4
91,4
145,4
246,4
176,4
297,4
139,4
174,4
224,4
78,4
151,4
37,4
243,3
264,3
241,3
15,3
115,3
221,3
166,3
13,3
269,3
31,3
282,3
204,3
84,3
138,3
209,3
201,3
220,3
93,3
30,3
262,2
248,2
68,2
114,2
164,2
253,2
289,2
186,2
153,2
105,2
20,2
298,2
117,2
33,2
237,2
104,2
226,2
9,2
56,2
80,1
163,1
206,1
190,1
1,1
169,1
82,1
109,1
36,1
103,1
152,1
188,1
260,1
281,1
187,1
83,1
11,1
236,1
128,1
34,1
272,1
271,1
