method,k,f1_score
pairwise_mean,50,0.6970255006457815
pairwise_mean,100,0.7139259683788042
pairwise_mean,150,0.7239262207698692
pairwise_mean,200,0.7267249879720872
pairwise_mean,250,0.7313162254199316
max_mean_diff,50,0.6835128431721762
max_mean_diff,100,0.7073248639554197
max_mean_diff,150,0.7197549935273846
max_mean_diff,200,0.7224159486609418
max_mean_diff,250,0.7255512545924322
pairwise_pval,50,0.6998490207539929
pairwise_pval,100,0.7205031748774731
pairwise_pval,150,0.7269086158738974
pairwise_pval,200,0.7264174405450701
pairwise_pval,250,0.7277289221111558
mutual_info,50,0.6883278838505964
mutual_info,100,0.7199066798989793
mutual_info,150,0.7201151448459578
mutual_info,200,0.7301665955803044
mutual_info,250,0.7264836039721599
